[2026-03-11 01:19:48] === NUEVA SESION INICIADA ===
[2026-03-11 01:24:10] Asset=AIG-OTC | Precio=74.99450 | RSI=41.12 | EMA=75.07963 | SMA=75.10379 | BB_W%=0.6588 | Mood_CALL=50% | Mood_PUT=50% | Score=-0.051 | MoodMom=0.000 | MicroMom=-0.400 | Diverg=0.000 | MoodBase=0.000 | Tech=0.200 | ROC=-0.064 | FadeCrowd=0.000 | Decision=HOLD | Filtros=[NONE]
[2026-03-11 01:24:13] Asset=AIG-OTC | Precio=74.99450 | RSI=41.12 | EMA=75.07963 | SMA=75.10379 | BB_W%=0.6588 | Mood_CALL=50% | Mood_PUT=50% | Score=-0.051 | MoodMom=0.000 | MicroMom=-0.400 | Diverg=0.000 | MoodBase=0.000 | Tech=0.200 | ROC=-0.053 | FadeCrowd=0.000 | Decision=HOLD | Filtros=[NONE]
[2026-03-11 01:24:16] Asset=AIG-OTC | Precio=75.00250 | RSI=41.45 | EMA=75.08039 | SMA=75.10403 | BB_W%=0.6588 | Mood_CALL=50% | Mood_PUT=50% | Score=0.008 | MoodMom=0.000 | MicroMom=-0.133 | Diverg=0.000 | MoodBase=0.000 | Tech=0.200 | ROC=-0.057 | FadeCrowd=0.000 | Decision=HOLD | Filtros=[NONE]
[2026-03-11 01:24:19] Asset=AIG-OTC | Precio=74.98050 | RSI=40.56 | EMA=75.07829 | SMA=75.10338 | BB_W%=0.6592 | Mood_CALL=50% | Mood_PUT=50% | Score=0.003 | MoodMom=0.000 | MicroMom=-0.133 | Diverg=0.000 | MoodBase=0.000 | Tech=0.200 | ROC=-0.151 | FadeCrowd=0.000 | Decision=HOLD | Filtros=[NONE]
[2026-03-11 01:24:22] Asset=AIG-OTC | Precio=74.98850 | RSI=40.87 | EMA=75.07905 | SMA=75.10362 | BB_W%=0.6589 | Mood_CALL=50% | Mood_PUT=50% | Score=-0.052 | MoodMom=0.000 | MicroMom=-0.400 | Diverg=0.000 | MoodBase=0.000 | Tech=0.200 | ROC=-0.083 | FadeCrowd=0.000 | Decision=HOLD | Filtros=[NONE]
[2026-03-11 01:24:25] Asset=AIG-OTC | Precio=74.99450 | RSI=41.12 | EMA=75.07963 | SMA=75.10379 | BB_W%=0.6588 | Mood_CALL=50% | Mood_PUT=50% | Score=0.011 | MoodMom=0.000 | MicroMom=-0.133 | Diverg=0.000 | MoodBase=0.000 | Tech=0.200 | ROC=-0.001 | FadeCrowd=0.000 | Decision=HOLD | Filtros=[NONE]
[2026-03-11 01:24:28] Asset=AIG-OTC | Precio=74.99250 | RSI=41.04 | EMA=75.07944 | SMA=75.10374 | BB_W%=0.6588 | Mood_CALL=50% | Mood_PUT=50% | Score=0.010 | MoodMom=0.000 | MicroMom=-0.133 | Diverg=0.000 | MoodBase=0.000 | Tech=0.200 | ROC=-0.015 | FadeCrowd=0.000 | Decision=HOLD | Filtros=[NONE]
[2026-03-11 01:24:31] Asset=AIG-OTC | Precio=74.99650 | RSI=41.20 | EMA=75.07982 | SMA=75.10385 | BB_W%=0.6588 | Mood_CALL=50% | Mood_PUT=50% | Score=0.070 | MoodMom=0.000 | MicroMom=0.133 | Diverg=0.000 | MoodBase=0.000 | Tech=0.200 | ROC=0.004 | FadeCrowd=0.000 | Decision=HOLD | Filtros=[NONE]
[2026-03-11 01:24:34] Asset=AIG-OTC | Precio=75.00950 | RSI=41.74 | EMA=75.08105 | SMA=75.10424 | BB_W%=0.6588 | Mood_CALL=50% | Mood_PUT=50% | Score=0.072 | MoodMom=0.000 | MicroMom=0.133 | Diverg=0.000 | MoodBase=0.000 | Tech=0.200 | ROC=0.053 | FadeCrowd=0.000 | Decision=HOLD | Filtros=[NONE]
[2026-03-11 01:24:37] Asset=AIG-OTC | Precio=75.03750 | RSI=43.32 | EMA=75.08372 | SMA=75.10506 | BB_W%=0.6602 | Mood_CALL=50% | Mood_PUT=50% | Score=0.051 | MoodMom=0.000 | MicroMom=0.400 | Diverg=0.000 | MoodBase=0.000 | Tech=-0.200 | ROC=0.065 | FadeCrowd=0.000 | Decision=HOLD | Filtros=[NONE]
